"date","account","category","amount","currency","converted.amount","currency.1","description"
"20/12/2015","Expense Account 1","Entertainment","-750","INR","-750","INR",""
"20/12/2015","Expense Account 1","Miscellaneous","-1,750","INR","-1,750","INR","gift"
"20/12/2015","Expense Account 1","Home Food","-35","INR","-35","INR",""
"20/12/2015","Expense Account 1","Entertainment","-40","INR","-40","INR",""
"20/12/2015","Expense Account 1","Miscellaneous","-40","INR","-40","INR","gift"
"21/12/2015","Expense Account 1","Commuting","-13","INR","-13","INR",""
"21/12/2015","Expense Account 1","Miscellaneous","-80","INR","-80","INR",""
"21/12/2015","Expense Account 1","Commuting","-6","INR","-6","INR",""
"22/12/2015","Expense Account 1","Commuting","-13","INR","-13","INR",""
"22/12/2015","Expense Account 1","Commuting","-50","INR","-50","INR",""
"22/12/2015","Expense Account 1","Home Food","-20","INR","-20","INR",""
"22/12/2015","Expense Account 1","Entertainment","-11","INR","-11","INR",""
"23/12/2015","Expense Account 1","Commuting","-13","INR","-13","INR",""
"24/12/2015","Expense Account 1","Commuting","-54","INR","-54","INR",""
"24/12/2015","Expense Account 1","Commuting","-13","INR","-13","INR",""
"25/12/2015","Expense Account 1","Commuting","-13","INR","-13","INR",""
"25/12/2015","Expense Account 1","Entertainment","-1,130","INR","-1,130","INR",""
"28/12/2015","Expense Account 1","Miscellaneous","-32","INR","-32","INR",""
"28/12/2015","Expense Account 1","Commuting","-22","INR","-22","INR",""
"29/12/2015","Expense Account 1","Commuting","-9","INR","-9","INR",""
"29/12/2015","Expense Account 1","Miscellaneous","-610","INR","-610","INR",""
"29/12/2015","Expense Account 1","Miscellaneous","-4,127","INR","-4,127","INR",""
"30/12/2015","Expense Account 1","Commuting","-22","INR","-22","INR",""
"31/12/2015","Expense Account 1","Miscellaneous","-2,500","INR","-2,500","INR",""
"03/01/2016","Expense Account 1","Entertainment","-2,900","INR","-2,900","INR",""
"03/01/2016","Expense Account 1","Miscellaneous","-32","INR","-32","INR",""
"04/01/2016","Expense Account 1","Commuting","-18","INR","-18","INR",""
"04/01/2016","Expense Account 1","Commuting","-16","INR","-16","INR",""
"04/01/2016","Expense Account 1","Miscellaneous","-120","INR","-120","INR",""
"04/01/2016","Expense Account 1","Miscellaneous","-470","INR","-470","INR",""
"04/01/2016","Expense Account 1","Miscellaneous","-97","INR","-97","INR",""
"05/01/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"05/01/2016","Expense Account 1","Miscellaneous","-14","INR","-14","INR",""
"05/01/2016","Expense Account 1","Entertainment","-22","INR","-22","INR",""
"05/01/2016","Expense Account 1","Miscellaneous","-100","INR","-100","INR",""
"06/01/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"06/01/2016","Expense Account 1","Miscellaneous","-923","INR","-923","INR",""
"07/01/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"07/01/2016","Expense Account 1","Home Food","-100","INR","-100","INR",""
"07/01/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"08/01/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"08/01/2016","Expense Account 1","Miscellaneous","-255","INR","-255","INR",""
"09/01/2016","Expense Account 1","Entertainment","-700","INR","-700","INR",""
"09/01/2016","Expense Account 1","Miscellaneous","-100","INR","-100","INR",""
"09/01/2016","Expense Account 1","Home Food","-166","INR","-166","INR",""
"10/01/2016","Expense Account 1","Commuting","-50","INR","-50","INR",""
"10/01/2016","Expense Account 1","Miscellaneous","-999","INR","-999","INR",""
"11/01/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"11/01/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"12/01/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"12/01/2016","Expense Account 1","Miscellaneous","-97","INR","-97","INR",""
"12/01/2016","Expense Account 1","Commuting","-50","INR","-50","INR",""
